id,rideHailManagerId,vehicleType,initialLocationX,initialLocationY,shifts,geofenceX,geofenceY,geofenceRadius
rideHailVehicle-033000-2013001140814-1-4636712, GlobalRHM, Car,546057.0266,4172428.08,{10:25200};{25300:80000},,,
rideHailVehicle-020700-2016001360898-0-4248122, GlobalRHM, Car,553868.6964,4179214.25,{10:25200};{25300:80000},,,
rideHailVehicle-020800-2013001345354-0-7301793, GlobalRHM, Car,549302.4236,4176560.781,{10:25200};{25300:80000},,,
rideHailVehicle-061100-2016000747949-0-1577020, GlobalRHM, Car,555902.5981,4184577.446,{10:25200};{25300:80000},,,
rideHailVehicle-016500-2015000892233-3-942727, GlobalRHM, Car,546061.5154,4180182.929,{10:25200};{25300:80000},,,
rideHailVehicle-020200-2013000318971-0-5008559, GlobalRHM, Car,554809.718,4180838.265,{10:25200};{25300:80000},,,
rideHailVehicle-013400-2012000256849-0-813781, GlobalRHM, Car,545456.0537,4181248.101,{10:25200};{25300:80000},,,
rideHailVehicle-031302-2012000358469-0-4129925, GlobalRHM, Car,548430.4164,4172741.34,{10:25200};{25300:80000},,,
rideHailVehicle-012202-2014001317122-0-4372662, GlobalRHM, Car,554806.6188,4180722.773,{10:25200};{25300:80000},,,
rideHailVehicle-030102-2014000737619-0-7570834, GlobalRHM, Car,550050.3128,4174909.718,{10:25200};{25300:80000},,,
rideHailVehicle-015900-2014000226919-0-2977040, GlobalRHM, Car,549833.3067,4184745.153,{10:25200};{25300:80000},,,
rideHailVehicle-010600-2013000040063-0-1831034, GlobalRHM, Car,547940.9711,4179130.266,{10:25200};{25300:80000},,,
rideHailVehicle-033204-2015000312571-0-6550922, GlobalRHM, Car,543451.1568,4177015.209,{10:25200};{25300:80000},,,
rideHailVehicle-012000-2014000584044-0-3863084, GlobalRHM, Car,547568.3557,4187030.68,{10:25200};{25300:80000},,,
rideHailVehicle-013300-2013000240624-0-2595702, GlobalRHM, Car,553202.6775,4182478.722,{10:25200};{25300:80000},,,
rideHailVehicle-030101-2016001472918-0-4387279, GlobalRHM, Car,549962.8613,4182731.993,{10:25200};{25300:80000},,,
rideHailVehicle-030202-2016000025297-0-5404270, GlobalRHM, Car,545422.5124,4181837.794,{10:25200};{25300:80000},,,
rideHailVehicle-012602-2012001015491-0-7432235, GlobalRHM, Car,546637.5803,4180698.313,{10:25200};{25300:80000},,,
rideHailVehicle-060700-2014000005294-0-5007051, GlobalRHM, Car,556245.2034,4186409.869,{10:25200};{25300:80000},,,
rideHailVehicle-030800-2015000705172-0-5529690, GlobalRHM, Car,544789.4434,4171924.376,{10:25200};{25300:80000},,,
rideHailVehicle-021600-2014000354590-0-1447926, GlobalRHM, Car,549940.4446,4173603.413,{10:25200};{25300:80000},,,
rideHailVehicle-015700-2014001212701-1-1324701, GlobalRHM, Car,552582.3832,4185596.673,{10:25200};{25300:80000},,,
rideHailVehicle-016000-2013000348243-0-4250212, GlobalRHM, Car,555678.3367,4185813.466,{10:25200};{25300:80000},,,
rideHailVehicle-011100-2015001442319-1-5903957, GlobalRHM, Car,553707.5845,4182228.644,{10:25200};{25300:80000},,,
rideHailVehicle-017601-2012000405878-0-5516644, GlobalRHM, Car,555266.4413,4182433.039,{10:25200};{25300:80000},,,
rideHailVehicle-012000-2016001041982-3-5262778, GlobalRHM, Car,554355.3327,4180679.993,{10:25200};{25300:80000},,,
rideHailVehicle-016900-2014000373437-0-5518881, GlobalRHM, Car,553234.2969,4175463.28,{10:25200};{25300:80000},,,
rideHailVehicle-047802-2016000763052-0-8072486, GlobalRHM, Car,542632.4856,4175840.857,{10:25200};{25300:80000},,,
rideHailVehicle-047701-2014001410353-0-1833444, GlobalRHM, Car,544354.0414,4178641.496,{10:25200};{25300:80000},,,
rideHailVehicle-025403-2016000883421-0-813569, GlobalRHM, Car,556208.3605,4179062.512,{10:25200};{25300:80000},,,
rideHailVehicle-047600-2014001170285-0-5394863, GlobalRHM, Car,544911.7558,4183478.533,{10:25200};{25300:80000},,,
rideHailVehicle-030301-2014000688612-0-6296473, GlobalRHM, Car,543825.8248,4174460.912,{10:25200};{25300:80000},,,
rideHailVehicle-032902-2015000237058-1-3114891, GlobalRHM, Car,547595.4175,4173296.813,{10:25200};{25300:80000},,,
rideHailVehicle-047902-2016001447354-0-5140994, GlobalRHM, Car,546944.98,4175632.057,{10:25200};{25300:80000},,,
rideHailVehicle-033204-2015000312571-0-6550921, GlobalRHM, Car,545242.8267,4170969.973,{10:25200};{25300:80000},,,
rideHailVehicle-020900-2014000181043-1-4118319, GlobalRHM, Car,546917.1558,4179126.028,{10:25200};{25300:80000},,,
rideHailVehicle-030102-2014000737619-0-7570836, GlobalRHM, Car,547079.5879,4178052.621,{10:25200};{25300:80000},,,
rideHailVehicle-015700-2014000915225-0-5649434, GlobalRHM, Car,553580.5724,4181672.645,{10:25200};{25300:80000},,,
rideHailVehicle-035400-2015000350730-0-2223325, GlobalRHM, Car,540034.2998,4179294.512,{10:25200};{25300:80000},,,
rideHailVehicle-047600-2014000038346-0-7943437, GlobalRHM, Car,547519.6281,4182971.092,{10:25200};{25300:80000},,,
rideHailVehicle-035400-2016000410053-0-7952892, GlobalRHM, Car,544686.6902,4175118.273,{10:25200};{25300:80000},,,
rideHailVehicle-031400-2016000714271-0-5530030, GlobalRHM, Car,550833.4354,4170695.393,{10:25200};{25300:80000},,,
rideHailVehicle-010400-2013001126970-0-6156983, GlobalRHM, Car,555937.7949,4184803.317,{10:25200};{25300:80000},,,
rideHailVehicle-026404-2013000504012-0-1838427, GlobalRHM, Car,549327.7373,4174379.578,{10:25200};{25300:80000},,,
rideHailVehicle-035201-2014000847839-0-2858472, GlobalRHM, Car,544155.2351,4183749.111,{10:25200};{25300:80000},,,
rideHailVehicle-010500-2016000806879-0-2965551, GlobalRHM, Car,548802.0329,4183723.968,{10:25200};{25300:80000},,,
rideHailVehicle-022903-2015001470545-0-6410692, GlobalRHM, Car,555311.8015,4178760.857,{10:25200};{25300:80000},,,
rideHailVehicle-030800-2016001364106-0-950543, GlobalRHM, Car,550068.0349,4179633.502,{10:25200};{25300:80000},,,
rideHailVehicle-013101-2014001499292-0-2467746, GlobalRHM, Car,552255.2846,4178154.031,{10:25200};{25300:80000},,,
rideHailVehicle-010900-2015000946194-0-2328662, GlobalRHM, Car,547697.1953,4181657.085,{10:25200};{25300:80000},,,
rideHailVehicle-031302-2014001135852-0-7569351, GlobalRHM, Car,550484.1254,4171566.402,{10:25200};{25300:80000},,,
rideHailVehicle-016900-2014000373437-0-5518882, GlobalRHM, Car,546295.9076,4185017.558,{10:25200};{25300:80000},,,
rideHailVehicle-012700-2013001173617-0-180127, GlobalRHM, Car,549163.7274,4186858.826,{10:25200};{25300:80000},,,
rideHailVehicle-010900-2014001424656-0-814600, GlobalRHM, Car,547007.2556,4184024.517,{10:25200};{25300:80000},,,
rideHailVehicle-020900-2014000181043-1-4118318, GlobalRHM, Car,546580.8541,4180699.203,{10:25200};{25300:80000},,,
rideHailVehicle-016600-2013000239445-0-4373747, GlobalRHM, Car,545984.2261,4184669.269,{10:25200};{25300:80000},,,
rideHailVehicle-061500-2014000705464-4-50730, GlobalRHM, Car,548796.9863,4180362.367,{10:25200};{25300:80000},,,
rideHailVehicle-016500-2013000373520-0-55085, GlobalRHM, Car,547204.7455,4179171.74,{10:25200};{25300:80000},,,
rideHailVehicle-035300-2015000297796-0-1078572, GlobalRHM, Car,544092.2837,4178481.798,{10:25200};{25300:80000},,,
rideHailVehicle-026301-2014001060732-2-1710938, GlobalRHM, Car,552694.5047,4177741.534,{10:25200};{25300:80000},,,
rideHailVehicle-031201-2014000419339-0-3875125, GlobalRHM, Car,542793.2284,4173053.374,{10:25200};{25300:80000},,,
rideHailVehicle-017000-2015000063355-0-52505, GlobalRHM, Car,552493.6432,4184118.957,{10:25200};{25300:80000},,,
rideHailVehicle-047600-2012000577946-0-7178554, GlobalRHM, Car,544367.9565,4178229.729,{10:25200};{25300:80000},,,
rideHailVehicle-023003-2012000097895-0-7695139, GlobalRHM, Car,557361.4069,4174656.604,{10:25200};{25300:80000},,,
rideHailVehicle-020800-2013001279170-1-1064265, GlobalRHM, Car,554534.4599,4176507.417,{10:25200};{25300:80000},,,
rideHailVehicle-021200-2016000359631-0-5009577, GlobalRHM, Car,547876.8789,4182494.089,{10:25200};{25300:80000},,,
rideHailVehicle-030700-2016000221287-0-5529919, GlobalRHM, Car,549847.7424,4174916.468,{10:25200};{25300:80000},,,
rideHailVehicle-026303-2016000613976-0-7696443, GlobalRHM, Car,552177.7387,4174700.06,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2014000025730-0-3112772, GlobalRHM, Car,544920.9753,4178978.757,{10:25200};{25300:80000},,,
rideHailVehicle-600300-2013000025013-0-200862, GlobalRHM, Car,550876.4476,4169682.12,{10:25200};{25300:80000},,,
rideHailVehicle-042700-2015000104440-1-3358960, GlobalRHM, Car,547781.4997,4176001.713,{10:25200};{25300:80000},,,
rideHailVehicle-020900-2014000181043-1-4118320, GlobalRHM, Car,554580.9401,4179547.384,{10:25200};{25300:80000},,,
rideHailVehicle-016300-2016000202136-0-1070355, GlobalRHM, Car,548443.9586,4179982.056,{10:25200};{25300:80000},,,
rideHailVehicle-060502-2014000241606-0-5654867, GlobalRHM, Car,551949.1416,4175996.515,{10:25200};{25300:80000},,,
rideHailVehicle-010900-2014001274324-0-7294737, GlobalRHM, Car,554236.4831,4185719.154,{10:25200};{25300:80000},,,
rideHailVehicle-061000-2013000872151-0-4508785, GlobalRHM, Car,551415.6724,4173233.695,{10:25200};{25300:80000},,,
rideHailVehicle-030102-2016000915765-0-7316422, GlobalRHM, Car,542800.1673,4181916.409,{10:25200};{25300:80000},,,
rideHailVehicle-012000-2014000584044-0-3863085, GlobalRHM, Car,553547.9163,4183401.82,{10:25200};{25300:80000},,,
rideHailVehicle-012700-2012000397830-0-939901, GlobalRHM, Car,546150.574,4182180.242,{10:25200};{25300:80000},,,
rideHailVehicle-026200-2016000932981-0-5657194, GlobalRHM, Car,546623.4817,4177630.148,{10:25200};{25300:80000},,,
rideHailVehicle-035400-2015000350730-0-2223326, GlobalRHM, Car,540495.541,4177457.219,{10:25200};{25300:80000},,,
rideHailVehicle-030201-2015000502336-0-5276051, GlobalRHM, Car,542368.6125,4183015.135,{10:25200};{25300:80000},,,
rideHailVehicle-016000-2016001255287-0-2978178, GlobalRHM, Car,553779.8426,4178851.445,{10:25200};{25300:80000},,,
rideHailVehicle-035100-2014000315414-0-2478040, GlobalRHM, Car,549126.6119,4177640.051,{10:25200};{25300:80000},,,
rideHailVehicle-031201-2016001275552-0-63286, GlobalRHM, Car,543242.1012,4174513.774,{10:25200};{25300:80000},,,
rideHailVehicle-017102-2016000053183-0-1957770, GlobalRHM, Car,546297.4403,4181555.279,{10:25200};{25300:80000},,,
rideHailVehicle-061500-2014000470961-6-1064421, GlobalRHM, Car,552018.8671,4178792.802,{10:25200};{25300:80000},,,
rideHailVehicle-015700-2013001443049-0-1705449, GlobalRHM, Car,552460.5424,4177390.664,{10:25200};{25300:80000},,,
rideHailVehicle-016600-2016000093294-1-5391710, GlobalRHM, Car,552650.1906,4180241.464,{10:25200};{25300:80000},,,
rideHailVehicle-016801-2015000213706-0-5009189, GlobalRHM, Car,545923.4451,4184157.287,{10:25200};{25300:80000},,,
rideHailVehicle-021600-2013000971589-0-7049167, GlobalRHM, Car,551115.0447,4178748.808,{10:25200};{25300:80000},,,
rideHailVehicle-030202-2012000294274-0-2349253, GlobalRHM, Car,545785.0285,4174914.685,{10:25200};{25300:80000},,,
rideHailVehicle-061500-2013001018912-0-6409906, GlobalRHM, Car,550098.0667,4180712.516,{10:25200};{25300:80000},,,
rideHailVehicle-025701-2012000622524-0-438815, GlobalRHM, Car,550331.9781,4175288.147,{10:25200};{25300:80000},,,
rideHailVehicle-012201-2016000785486-0-4752964, GlobalRHM, Car,554472.8395,4186655.985,{10:25200};{25300:80000},,,
rideHailVehicle-016300-2016000391945-0-7435414, GlobalRHM, Car,554131.0212,4183230.463,{10:25200};{25300:80000},,,
rideHailVehicle-021800-2013000077130-0-7568755, GlobalRHM, Car,546842.8873,4179780.795,{10:25200};{25300:80000},,,
rideHailVehicle-025402-2013000712809-0-6411569, GlobalRHM, Car,550541.7491,4179520.577,{10:25200};{25300:80000},,,
rideHailVehicle-020300-2015000105861-0-5775241, GlobalRHM, Car,547390.2288,4175920.087,{10:25200};{25300:80000},,,
rideHailVehicle-023001-2013001477429-0-439283, GlobalRHM, Car,555019.8437,4177009.592,{10:25200};{25300:80000},,,
rideHailVehicle-023003-2013000382737-0-1583439, GlobalRHM, Car,557736.8738,4180221.409,{10:25200};{25300:80000},,,
rideHailVehicle-020700-2013000080675-0-5008511, GlobalRHM, Car,547488.0164,4176848.045,{10:25200};{25300:80000},,,
rideHailVehicle-061500-2015000872072-1-1828506, GlobalRHM, Car,552402.4121,4178622.743,{10:25200};{25300:80000},,,
rideHailVehicle-022902-2012001105608-0-3353143, GlobalRHM, Car,555334.1464,4173934.156,{10:25200};{25300:80000},,,
rideHailVehicle-016300-2015000074476-0-3233215, GlobalRHM, Car,549445.1756,4182991.476,{10:25200};{25300:80000},,,
rideHailVehicle-031400-2013001106601-0-2221289, GlobalRHM, Car,544950.6836,4170764.864,{10:25200};{25300:80000},,,
rideHailVehicle-035300-2015000297796-0-1078571, GlobalRHM, Car,543012.3776,4176997.28,{10:25200};{25300:80000},,,
rideHailVehicle-016000-2013000348243-0-4250210, GlobalRHM, Car,547373.2955,4183801.044,{10:25200};{25300:80000},,,
rideHailVehicle-023003-2013000382737-0-1583440, GlobalRHM, Car,553598.565,4176380.339,{10:25200};{25300:80000},,,
rideHailVehicle-030101-2013001284059-0-3876595, GlobalRHM, Car,545376.9669,4176048.448,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2013001140814-1-4636711, GlobalRHM, Car,549468.0011,4174489.154,{10:25200};{25300:80000},,,
rideHailVehicle-016700-2013000625848-0-3101998, GlobalRHM, Car,548773.9307,4179320.804,{10:25200};{25300:80000},,,
rideHailVehicle-020700-2016001360898-0-4248124, GlobalRHM, Car,547950.454,4176074.959,{10:25200};{25300:80000},,,
rideHailVehicle-012000-2012001332565-0-4117872, GlobalRHM, Car,554525.2965,4181751.532,{10:25200};{25300:80000},,,
rideHailVehicle-016400-2013001366906-0-2340702, GlobalRHM, Car,553731.9692,4180833.048,{10:25200};{25300:80000},,,
rideHailVehicle-047600-2016001208137-2-4631149, GlobalRHM, Car,550478.5575,4175326.151,{10:25200};{25300:80000},,,
rideHailVehicle-025701-2016000596503-0-7568119, GlobalRHM, Car,550633.2479,4175696.831,{10:25200};{25300:80000},,,
rideHailVehicle-031400-2013001106601-0-2221287, GlobalRHM, Car,549477.6244,4174491.304,{10:25200};{25300:80000},,,
rideHailVehicle-015700-2013001443049-0-1705448, GlobalRHM, Car,544418.6075,4176607.951,{10:25200};{25300:80000},,,
rideHailVehicle-017000-2015000063355-0-52504, GlobalRHM, Car,552411.9606,4180423.535,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2014000025730-0-3112774, GlobalRHM, Car,545297.7504,4178440.666,{10:25200};{25300:80000},,,
rideHailVehicle-010800-2014001033451-0-7177654, GlobalRHM, Car,554263.8689,4181198.953,{10:25200};{25300:80000},,,
rideHailVehicle-021500-2015001455603-1-559452, GlobalRHM, Car,554099.3579,4172843.87,{10:25200};{25300:80000},,,
rideHailVehicle-010600-2013000040063-0-1831035, GlobalRHM, Car,550766.0025,4188697.557,{10:25200};{25300:80000},,,
rideHailVehicle-061400-2013001270771-1-557156, GlobalRHM, Car,554672.0091,4178591.458,{10:25200};{25300:80000},,,
rideHailVehicle-017102-2015000610535-0-1066427, GlobalRHM, Car,551655.002,4177952.911,{10:25200};{25300:80000},,,
rideHailVehicle-022802-2012001386215-0-6282251, GlobalRHM, Car,548966.5755,4178509.017,{10:25200};{25300:80000},,,
rideHailVehicle-035400-2015000355182-0-2223332, GlobalRHM, Car,542867.4156,4181041.376,{10:25200};{25300:80000},,,
rideHailVehicle-015700-2014001212701-1-1324703, GlobalRHM, Car,546032.9289,4180370.314,{10:25200};{25300:80000},,,
rideHailVehicle-021500-2013001033977-0-4753733, GlobalRHM, Car,554116.6013,4182043.07,{10:25200};{25300:80000},,,
rideHailVehicle-042601-2013000611431-0-181600, GlobalRHM, Car,544901.3856,4175858.081,{10:25200};{25300:80000},,,
rideHailVehicle-012301-2015000488247-0-177342, GlobalRHM, Car,549040.3112,4184471.92,{10:25200};{25300:80000},,,
