person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_taz,value_of_time,school_taz,school_taz_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_taz,workplace_location_logsum,distance_to_work,workplace_in_cbd,work_taz_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,cdap_activity,travel_active,under16_not_at_school,has_preschool_kid_at_home,has_school_kid_at_home,mandatory_tour_frequency,work_and_school_and_worker,work_and_school_and_student,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_non_escort_tours,in_Zone
43567,14065,72,2,2,3,3,5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,957,1.5548384344791755,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,1,1,0,0,0,0,1,0,1,TRUE
47000,16025,52,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1039,16.33446546408252,-1,NA,NA,0,738,14.298980503978713,4.64,FALSE,4,27.560001,158.04,1,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
47001,16025,55,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1039,16.33446546408252,-1,NA,NA,0,1713,14.278664620986332,14.63,FALSE,3,54.29,-50.9294,-0.42441168,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
47002,16025,26,3,1,3,3,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1039,16.33446546408252,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
47003,16025,21,4,2,1,2,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,1039,16.33446546408252,1067,8.566112667357078,1.74,11.73,941,14.284896746857832,2.09,FALSE,5,14.62,-13.6032,-0.11336,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
47004,16025,18,5,2,2,2,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,1039,16.33446546408252,1067,8.402439809184337,1.74,11.73,939,14.309876264306657,2.63,FALSE,4,17.85,-16.8962,-0.14080167,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
47005,16025,14,6,1,4,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1039,10.895088464543042,870,11.964292492623095,11.11,50.120003,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,1,1,0,0,0,0,1,0,1,TRUE
66055,25593,65,1,1,2,3,2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1065,14.565205086744287,-1,NA,NA,0,1067,14.388098541309844,0.82,FALSE,4,7.64,-7.0214,-0.058511667,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
66056,25593,62,2,2,3,3,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1065,14.565205086744287,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,1,20,2,0,1,2,0,0,0,2,TRUE
66057,25593,22,3,2,3,2,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,FALSE,1065,14.565205086744287,1067,11.432960999880965,0.82,7.64,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,TRUE
80445,33593,91,1,1,3,3,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1057,2.317559406862727,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,2,1,0,0,0,0,0,1,1,TRUE
100900,46729,25,1,1,1,2,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,1133,9.088873364438726,1067,7.826573224783673,3.68,24.99,1117,13.67336021906357,0.71,FALSE,4,4.4,-3.7949,-0.031624164,FALSE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
100901,46729,24,2,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1133,9.088873364438726,-1,NA,NA,0,1282,13.68799585731214,2.82,FALSE,4,15.43,-14.288401,-0.11907001,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
117740,54729,50,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1144,8.425099376822367,-1,NA,NA,0,1226,14.219289876056756,4.98,FALSE,4,24.83,-23.2807,-0.19400583,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,16,1,0,0,1,0,0,0,1,TRUE
117741,54729,57,2,1,3,3,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,1144,8.425099376822367,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,1,1,0,0,0,0,1,0,1,TRUE
117742,54729,23,3,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1144,8.425099376822367,-1,NA,NA,0,1128,14.262969894675198,1.69,FALSE,3,9.690001,-8.931001,-0.074425004,TRUE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,4,1,0,1,0,0,0,0,1,TRUE
137283,62729,24,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1148,15.04993875049283,-1,NA,NA,0,1707,13.238822822568293,10.69,FALSE,4,40.620003,-38.093403,-0.317445,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
137284,62729,28,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1148,15.04993875049283,-1,NA,NA,0,806,13.191665866244646,8.78,FALSE,4,33.059998,318.13998,1,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,1,0,0,0,0,0,0,1,0,0,TRUE
137285,62729,0,3,2,4,1,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1148,10.038309146578717,891,13.317969394038506,5.74,31.03,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,TRUE
158234,70729,35,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1279,12.510128575871436,-1,NA,NA,0,1751,12.621593894910703,11.74,FALSE,3,44.07,425.52997,1,TRUE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,1,1,0,0,0,0,1,0,1,TRUE
160019,72041,58,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,969,5.183665948823386,-1,NA,NA,0,411,13.67563499272059,27.72,FALSE,3,72.490005,-68.465805,-0.57054836,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,16,1,0,0,1,0,0,0,1,TRUE
160020,72041,25,2,2,3,3,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,969,5.183665948823386,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,1,1,0,0,0,0,1,0,1,TRUE
182467,81225,21,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,868,31.335990809158123,-1,NA,NA,0,970,13.364882782208335,4.8,FALSE,5,18.560001,-17.041002,-0.14200835,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,16,1,0,0,1,0,0,0,1,TRUE
182468,81225,18,2,2,2,2,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,868,31.335990809158123,1067,5.968176120503854,5.91,32.5,1159,13.39303329742461,1.91,FALSE,4,11.059999,-9.8573,-0.08214416,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
202726,89977,27,1,2,2,3,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1439,4.060463171821944,-1,NA,NA,0,788,13.808213763883192,8.4,FALSE,4,33.5,302.49997,1,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,1,0,0,0,0,0,0,1,0,0,TRUE
202727,89977,33,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1439,4.060463171821944,-1,NA,NA,0,1069,13.768479339340994,10.24,FALSE,4,41.58,-38.528,-0.32106668,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
202728,89977,6,3,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1439,2.7083289356052367,931,11.441720637734345,3.21,17.36,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,0,0,1,4,1,0,1,0,0,0,0,1,TRUE
202729,89977,4,4,2,4,1,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1439,2.7083289356052367,1637,11.484180025330293,2.73,15.110001,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
202730,89977,2,5,1,4,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1439,2.7083289356052367,1647,11.573115626894884,4.52,18.09,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,1,1,0,0,0,0,1,0,1,TRUE
223676,97977,24,1,2,2,3,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,813,1.3515138973273135,-1,NA,NA,0,924,12.639859593581377,5.91,FALSE,4,28.16,-25.765,-0.21470833,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
223677,97977,2,2,1,4,1,8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,813,0.9014597695173182,802,10.700670515679663,3,16.27,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
223678,97977,1,3,2,4,1,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,813,0.9014597695173182,822,10.409445436943852,1.31,9.09,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
223679,97977,0,4,2,4,1,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,813,0.9014597695173182,818,10.572553755453125,0.88,9.299999,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
245687,105977,29,1,1,1,2,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,866,5.070748065025024,889,6.510024372667344,1.7,10.21,1296,14.104418488024626,3.68,FALSE,4,20.89,-19.5784,-0.16315334,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
245688,105977,28,2,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,866,5.070748065025024,-1,NA,NA,0,869,14.103649518273158,1.04,FALSE,4,10.940001,-10.197201,-0.08497667,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
245689,105977,54,3,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,866,5.070748065025024,-1,NA,NA,0,1191,14.071164400822544,1.49,FALSE,4,10.889999,-9.995999,-0.083299994,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,16,2,0,0,2,0,0,0,2,TRUE
245690,105977,53,4,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,866,5.070748065025024,-1,NA,NA,0,645,14.07802577431389,9.84,FALSE,3,37.260002,-34.1388,-0.28449002,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
266931,113977,84,1,2,3,3,5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,915,4.116551319748292,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,2,1,0,0,0,0,0,1,1,TRUE
291198,123033,72,1,1,3,3,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,932,3.7357812770400898,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
291199,123033,68,2,2,3,3,5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,932,3.7357812770400898,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,H,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
313916,131953,43,1,2,1,2,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3,TRUE,1280,6.9030044264066035,1067,4.572317103399872,6.26,27.630001,1301,13.72658429582575,3.2,FALSE,4,18.3,-17.2708,-0.14392333,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
313917,131953,41,2,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1280,6.9030044264066035,-1,NA,NA,0,749,13.84175783751747,10.32,FALSE,4,31.91,-29.0907,-0.2424225,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
313918,131953,8,3,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,1280,4.604303952413205,1280,11.500496645607273,0.43,2.6,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
